THAI	ROMANIZATION	DEFINITION	NOTES
กิน	gin	eat	Very common everyday verb; can also mean “to eat/drink” in casual speech
ไป	bpai	go	Used for going/heading somewhere; often combined with time/place words
จะ	jà	will	Future marker placed before a verb (จะไป, จะกิน); also used to express intention
เดิน	dern	walk	Used for walking or going on foot
เล่น	lên	play	Used for playing games, sports, instruments, or casually using things (เล่นมือถือ = be on your phone)
นั่ง	nâng	sit	To sit; also used for “ride as a passenger” (นั่งรถ = ride in a car)
ยืน	yuun	stand	To stand; contrasts with นั่ง (sit)
วิ่ง	wîng	run	To run/jog
อ่าน	àan	read	To read (books, messages, etc.)
เขียน	khǐan	write	To write/draw; used for writing text or sometimes drawing simple things